lsoa21cd,lsoa21nm
E01000843,Camden 014A
E01000846,Camden 014C
E01000847,Camden 014D
E01000849,Camden 011D
E01000853,Camden 029H
E01000857,Camden 018A
E01000867,Camden 015C
E01000868,Camden 015D
E01000869,Camden 015E
E01000882,Camden 008B
E01000886,Camden 006A
E01000887,Camden 006B
E01000890,Camden 007B
E01000891,Camden 007C
E01000901,Camden 007D
E01000904,Camden 012C
E01000905,Camden 012D
E01000906,Camden 012E
E01000919,Camden 028D
E01000923,Camden 003D
E01000926,Camden 009E
E01000927,Camden 007F
E01000929,Camden 020A
E01000932,Camden 013D
E01000934,Camden 020D
E01000935,Camden 020E
E01000939,Camden 029B
E01000941,Camden 029D
E01000942,Camden 029C
E01000943,Camden 029F
E01000944,Camden 023A
E01000949,Camden 023C
E01000951,Camden 023E
E01000954,Camden 022C
E01000955,Camden 022D
E01000957,Camden 019C
E01000959,Camden 019E
E01000961,Camden 017B
E01000964,Camden 016B
E01000968,Camden 016E
E01000969,Camden 010A
E01000970,Camden 010B
E01000971,Camden 010C
E01000842,Camden 011A
E01000848,Camden 011C
E01000859,Camden 018C
E01000870,Camden 009B
E01000873,Camden 005C
E01000874,Camden 005D
E01000875,Camden 013A
E01000876,Camden 013B
E01000877,Camden 005E
E01000888,Camden 006C
E01000892,Camden 006D
E01000900,Camden 012A
E01000902,Camden 012B
E01000903,Camden 006E
E01000907,Camden 001A
E01000911,Camden 003B
E01000915,Camden 027A
E01000920,Camden 027D
E01000924,Camden 009C
E01000930,Camden 020B
E01000938,Camden 029A
E01000952,Camden 022A
E01000966,Camden 016D
E01000974,Camden 013E
E01035712,Camden 029E
E01000844,Camden 011B
E01000845,Camden 014B
E01000861,Camden 019B
E01000862,Camden 018E
E01000866,Camden 009A
E01000880,Camden 004C
E01000895,Camden 002C
E01000898,Camden 008E
E01000910,Camden 003A
E01000916,Camden 027B
E01000917,Camden 027C
E01000925,Camden 009D
E01000933,Camden 020C
E01000937,Camden 029G
E01000956,Camden 022E
E01000960,Camden 017A
E01000962,Camden 016A
E01000965,Camden 016C
E01000972,Camden 010D
E01000863,Camden 021A
E01000872,Camden 005B
E01000889,Camden 007A
E01000918,Camden 028C
E01000931,Camden 013C
E01035709,Camden 022G
E01000860,Camden 018D
E01000878,Camden 004A
E01000896,Camden 002D
E01000851,Camden 026B
E01000879,Camden 004B
E01000883,Camden 008C
E01000884,Camden 004D
E01000947,Camden 021C
E01000856,Camden 019A
E01000881,Camden 008A
E01000897,Camden 008D
E01000908,Camden 001B
E01000963,Camden 017C
E01000921,Camden 003C
E01035707,Camden 015F
E01000948,Camden 021D
E01000958,Camden 019D
E01000967,Camden 017D
E01000850,Camden 026A
E01000858,Camden 018B
E01000885,Camden 004E
E01000909,Camden 001C
E01000922,Camden 007E
E01000973,Camden 010E
E01000893,Camden 002A
E01000928,Camden 003E
E01035708,Camden 022F
E01035710,Camden 023F
E01000894,Camden 002B
E01000871,Camden 005A
E01000855,Camden 028A
E01000914,Camden 028B
E01000912,Camden 001D
E01035711,Camden 026E
E01000946,Camden 021B
E01000899,Camden 002E
E01000913,Camden 001E
E01000003,City of London 001C
E01000005,City of London 001E
E01000001,City of London 001A
E01000002,City of London 001B
E01032740,City of London 001G
E01032739,City of London 001F
E01001845,Hackney 022E
E01001844,Hackney 022D
E01001843,Hackney 023E
E01001842,Hackney 023D
E01001838,Hackney 019E
E01001836,Hackney 022A
E01001835,Hackney 014F
E01001834,Hackney 014E
E01001832,Hackney 009E
E01001823,Hackney 001D
E01001822,Hackney 029C
E01001821,Hackney 024F
E01001820,Hackney 024E
E01001813,Hackney 002E
E01001811,Hackney 002D
E01001800,Hackney 004C
E01001798,Hackney 028A
E01001796,Hackney 011E
E01001794,Hackney 011C
E01001790,Hackney 013D
E01001789,Hackney 015C
E01001785,Hackney 015B
E01001784,Hackney 032A
E01001783,Hackney 026D
E01001776,Hackney 025F
E01001775,Hackney 024C
E01001772,Hackney 024A
E01001768,Hackney 006D
E01001759,Hackney 016E
E01001757,Hackney 016C
E01001755,Hackney 025D
E01001753,Hackney 025B
E01001749,Hackney 020B
E01001746,Hackney 016B
E01001740,Hackney 014A
E01001738,Hackney 012C
E01001737,Hackney 012B
E01001732,Hackney 019C
E01001728,Hackney 029B
E01001727,Hackney 006C
E01001726,Hackney 004B
E01001724,Hackney 006B
E01001723,Hackney 006A
E01001722,Hackney 029A
E01001719,Hackney 007E
E01001718,Hackney 007D
E01001717,Hackney 007C
E01001715,Hackney 007A
E01033702,Hackney 028C
E01033703,Hackney 010F
E01033710,Hackney 028E
E01035641,Hackney 020G
E01035642,Hackney 025G
E01035644,Hackney 025I
E01035645,Hackney 025J
E01035646,Hackney 026E
E01035647,Hackney 026F
E01035648,Hackney 026G
E01035649,Hackney 026H
E01001716,Hackney 007B
E01001733,Hackney 015A
E01001735,Hackney 019D
E01001736,Hackney 012A
E01001739,Hackney 012D
E01001741,Hackney 009A
E01001756,Hackney 030C
E01001763,Hackney 020C
E01001767,Hackney 010D
E01001769,Hackney 006E
E01001770,Hackney 010E
E01001780,Hackney 032D
E01001781,Hackney 026B
E01001788,Hackney 013C
E01001791,Hackney 015D
E01001792,Hackney 011A
E01001795,Hackney 011D
E01001804,Hackney 003C
E01001805,Hackney 009B
E01001814,Hackney 001C
E01001815,Hackney 024D
E01001816,Hackney 020D
E01001819,Hackney 020E
E01001827,Hackney 029D
E01001828,Hackney 028B
E01001829,Hackney 009C
E01001830,Hackney 014C
E01001831,Hackney 009D
E01001833,Hackney 014D
E01001837,Hackney 023B
E01001839,Hackney 023C
E01001850,Hackney 019F
E01033711,Hackney 032C
E01035638,Hackney 002G
E01035639,Hackney 002H
E01035640,Hackney 020F
E01035650,Hackney 031C
E01001729,Hackney 019A
E01001840,Hackney 022B
E01001826,Hackney 004E
E01001825,Hackney 001E
E01001809,Hackney 001B
E01001808,Hackney 001A
E01001807,Hackney 003D
E01001802,Hackney 003B
E01001793,Hackney 011B
E01001764,Hackney 010A
E01001762,Hackney 017D
E01001761,Hackney 016F
E01001760,Hackney 017C
E01001751,Hackney 031B
E01001747,Hackney 014B
E01001742,Hackney 008A
E01001731,Hackney 017A
E01001725,Hackney 004A
E01001720,Hackney 007F
E01033700,Hackney 030B
E01033705,Hackney 028D
E01035643,Hackney 025H
E01001734,Hackney 017B
E01001750,Hackney 031D
E01001847,Hackney 018B
E01001841,Hackney 022C
E01001824,Hackney 004D
E01001803,Hackney 008C
E01001773,Hackney 025E
E01001765,Hackney 010B
E01001745,Hackney 016A
E01001744,Hackney 031A
E01001730,Hackney 019B
E01001714,Hackney 002A
E01033699,Hackney 030A
E01033712,Hackney 023G
E01001799,Hackney 003A
E01001787,Hackney 013B
E01033709,Hackney 032B
E01033713,Hackney 010G
E01001758,Hackney 016D
E01001774,Hackney 024B
E01001801,Hackney 008B
E01001777,Hackney 033A
E01033704,Hackney 023F
E01001812,Hackney 003E
E01001848,Hackney 018C
E01033706,Hackney 033B
E01001806,Hackney 008D
E01001846,Hackney 018A
E01033708,Hackney 033C
E01001849,Hackney 018D
E01001786,Hackney 013A
E01001851,Hammersmith and Fulham 010A
E01001853,Hammersmith and Fulham 007B
E01001854,Hammersmith and Fulham 007C
E01001855,Hammersmith and Fulham 010B
E01001861,Hammersmith and Fulham 006C
E01001862,Hammersmith and Fulham 005A
E01001863,Hammersmith and Fulham 006D
E01001864,Hammersmith and Fulham 006E
