lsoa21cd,No_data,Tree_cover,Shrubland,Grassland,Cropland,Built_up,Bare,Water,Wetland,Total,No_data_PREC,Tree_cover_PREC,Shrubland_PREC,Grassland_PREC,Cropland_PREC,Built_up_PREC,Bare_PREC,Water_PREC,Wetland_Prec
E01000011,0,379,0,5,0,1075,13,0,0,1472,0,0.257472826,0,0.003396739,0,0.730298913,0.008831522,0,0
E01000046,0,583,0,323,0,1602,3,0,0,2511,0,0.232178415,0,0.12863401,0,0.637992832,0.001194743,0,0
E01000051,0,5,0,5,4,1057,1,0,0,1072,0,0.004664179,0,0.004664179,0.003731343,0.986007463,0.000932836,0,0
E01000077,0,723,0,294,0,1740,31,0,0,2788,0,0.259325681,0,0.105451937,0,0.6241033,0.011119082,0,0
E01000083,0,533,0,459,0,1891,18,0,0,2901,0,0.183729748,0,0.158221303,0,0.651844192,0.006204757,0,0
E01032580,0,334,0,120,0,1603,0,0,0,2057,0,0.162372387,0,0.058337385,0,0.779290228,0,0,0
E01034472,0,236,0,97,0,419,15,0,0,767,0,0.307692308,0,0.126466754,0,0.546284224,0.019556714,0,0
E01000006,0,495,0,2,0,1845,3,0,0,2345,0,0.21108742,0,0.000852878,0,0.786780384,0.001279318,0,0
E01000009,0,267,0,11,0,1776,7,0,0,2061,0,0.129548763,0,0.005337215,0,0.861717613,0.00339641,0,0
E01000022,0,474,0,69,0,1514,3,0,0,2060,0,0.230097087,0,0.033495146,0,0.734951456,0.001456311,0,0
E01000074,0,633,0,329,0,1669,3,0,0,2634,0,0.240318907,0,0.124905087,0,0.633637054,0.001138952,0,0
E01000084,0,705,0,292,0,1407,4,0,0,2408,0,0.292774086,0,0.121262458,0,0.584302326,0.00166113,0,0
E01000089,0,710,0,252,0,1370,1,0,0,2333,0,0.30432919,0,0.108015431,0,0.587226747,0.000428633,0,0
E01000097,0,413,0,388,0,2076,0,0,0,2877,0,0.143552311,0,0.134862704,0,0.721584984,0,0,0
E01000113,0,182,0,286,0,2005,0,0,0,2473,0,0.073594824,0,0.115649009,0,0.810756167,0,0,0
E01034470,0,274,0,262,0,1455,0,0,0,1991,0,0.137619287,0,0.131592165,0,0.730788548,0,0,0
E01034473,0,144,0,2,0,2111,9,0,0,2266,0,0.063548102,0,0.000882613,0,0.931597529,0.003971756,0,0
E01034477,0,110,0,313,22,1440,29,0,0,1914,0,0.057471264,0,0.16353187,0.011494253,0.752351097,0.015151515,0,0
E01000012,0,542,0,83,0,1669,10,0,0,2304,0,0.235243056,0,0.036024306,0,0.724392361,0.004340278,0,0
E01000017,0,658,0,211,0,1676,1,0,0,2546,0,0.258444619,0,0.082875098,0,0.65828751,0.000392773,0,0
E01000024,0,316,0,240,0,1517,0,0,0,2073,0,0.152436083,0,0.11577424,0,0.731789677,0,0,0
E01000038,0,164,0,1199,0,2071,9,0,0,3443,0,0.047632878,0,0.348242812,0,0.601510311,0.002613999,0,0
E01000040,0,445,0,237,0,2051,8,0,0,2741,0,0.162349507,0,0.086464794,0,0.748267056,0.002918643,0,0
E01000041,0,467,0,406,0,1571,6,0,0,2450,0,0.190612245,0,0.165714286,0,0.64122449,0.00244898,0,0
E01000043,0,768,0,757,0,2747,3,0,0,4275,0,0.179649123,0,0.177076023,0,0.642573099,0.000701754,0,0
E01000050,0,375,0,61,0,1769,0,0,0,2205,0,0.170068027,0,0.027664399,0,0.802267574,0,0,0
E01000058,0,741,0,417,0,1763,6,0,0,2927,0,0.253160232,0,0.142466689,0,0.602323198,0.00204988,0,0
E01000076,0,689,0,443,0,1929,4,0,0,3065,0,0.224796085,0,0.144535073,0,0.629363785,0.001305057,0,0
E01000081,0,573,0,347,6,2050,0,0,0,2976,0,0.192540323,0,0.116599462,0.002016129,0.688844086,0,0,0
E01000082,0,641,0,144,0,1792,4,0,0,2581,0,0.248353351,0,0.055792329,0,0.694304533,0.001549787,0,0
E01000085,0,434,0,196,0,1701,4,0,0,2335,0,0.185867238,0,0.083940043,0,0.728479657,0.001713062,0,0
E01000086,0,462,0,247,0,1529,0,0,0,2238,0,0.206434316,0,0.110366399,0,0.683199285,0,0,0
E01000025,0,428,0,251,0,1775,0,0,0,2454,0,0.174409128,0,0.102281989,0,0.723308883,0,0,0
E01000028,0,202,0,849,8,1241,5,0,0,2305,0,0.087635575,0,0.368329718,0.003470716,0.538394794,0.002169197,0,0
E01000033,0,554,0,661,0,1120,13,0,0,2348,0,0.235945486,0,0.281516184,0,0.477001704,0.005536627,0,0
E01000042,0,883,0,916,34,1867,14,0,0,3714,0,0.237749058,0,0.246634356,0.00915455,0.502692515,0.003769521,0,0
E01000052,0,384,0,463,0,2357,1,0,0,3205,0,0.119812793,0,0.144461778,0,0.735413417,0.000312012,0,0
E01000055,0,706,0,204,0,1432,0,0,0,2342,0,0.301451751,0,0.087105038,0,0.611443211,0,0,0
E01000063,0,800,0,297,0,1815,1,0,0,2913,0,0.274630965,0,0.101956746,0,0.623069001,0.000343289,0,0
