lsoa21cd,MEAN_EDG,DEVST_EDG,UNIFOR,ENTROP,CONTRAS,IDM,COVAR,VARIAN,CORRELAC,SKEWNESS,KURTOSIS,SMAX1,RVF,RSF,FDO,SDT,FML,MFM,VFM,DMF,RMM,SDF,AFM,,
E01000843,17.238400 ,10.894200 ,0.001770 ,2.946958 ,42.581867 ,0.226189 ,99.970120 ,121.261050 ,0.824421 ,0.894218 ,0.730881 ,20.000000 ,5.018309 ,1.568767 ,224.289020 ,-37.451992 ,20.000000 ,1573.518500 ,237041.340000 ,1179.175600 ,1.267271 ,-1161.639900 ,23177.990000 ,,
E01000846,15.690300 ,9.960970 ,0.001616 ,2.982405 ,41.745679 ,0.243991 ,110.528270 ,131.401110 ,0.841152 ,0.470825 ,-0.173763 ,15.000000 ,5.785215 ,1.605281 ,224.649310 ,-38.578512 ,15.000000 ,1484.792300 ,277065.570000 ,1113.643200 ,1.348559 ,-998.048540 ,16260.207000 ,,
E01000847,16.311900 ,10.540600 ,0.001743 ,2.977590 ,44.463890 ,0.241710 ,111.964710 ,134.196660 ,0.834333 ,0.446680 ,-0.419851 ,13.000000 ,5.517823 ,1.578347 ,229.550090 ,-30.521069 ,13.000000 ,1459.332400 ,293342.290000 ,1062.425400 ,1.403652 ,-780.808110 ,13382.693000 ,,
E01000849,17.461400 ,11.207800 ,0.001703 ,2.976297 ,45.013606 ,0.228665 ,114.083440 ,136.590240 ,0.835224 ,0.531256 ,-0.462050 ,13.000000 ,5.482796 ,1.604771 ,245.483430 ,-20.426956 ,13.000000 ,1661.831000 ,440546.240000 ,1255.919400 ,1.436774 ,-900.539060 ,15741.982000 ,,
E01000853,18.011800 ,11.955500 ,0.001157 ,3.102444 ,53.295851 ,0.228502 ,156.316060 ,182.963980 ,0.854354 ,0.000150 ,-0.763042 ,20.000000 ,6.180539 ,1.622736 ,302.072920 ,-57.233915 ,20.000000 ,1987.300600 ,343615.590000 ,1502.226500 ,1.264294 ,-1373.386300 ,29515.875000 ,,
E01000857,15.938100 ,10.813000 ,0.002635 ,2.892742 ,42.122523 ,0.254757 ,108.209070 ,129.270330 ,0.837076 ,0.785981 ,0.098398 ,14.000000 ,5.586690 ,1.648208 ,244.612250 ,-44.653331 ,14.000000 ,1591.500000 ,369653.490000 ,1214.133000 ,1.401161 ,-802.982360 ,16448.938000 ,,
E01000867,16.988800 ,11.160800 ,0.001835 ,2.946504 ,43.384783 ,0.237391 ,98.083327 ,119.775720 ,0.818892 ,0.548072 ,-0.207045 ,14.000000 ,4.872174 ,1.622583 ,249.843350 ,-41.501668 ,14.000000 ,1488.687300 ,256406.490000 ,1087.385700 ,1.317337 ,-896.217850 ,14844.801000 ,,
E01000868,15.152500 ,9.785020 ,0.001905 ,2.937921 ,41.317390 ,0.251926 ,85.223672 ,105.882370 ,0.804890 ,0.706368 ,0.862258 ,15.000000 ,4.552562 ,1.573790 ,218.490410 ,-35.975495 ,15.000000 ,1344.080300 ,180949.940000 ,963.295490 ,1.293300 ,-943.632200 ,14151.460000 ,,
E01000869,16.989000 ,11.293300 ,0.002092 ,2.932224 ,43.189230 ,0.242030 ,103.657070 ,125.251680 ,0.827590 ,0.586661 ,-0.282423 ,15.000000 ,5.149557 ,1.612925 ,243.556170 ,-41.824088 ,15.000000 ,1567.953600 ,295575.290000 ,1170.586600 ,1.323501 ,-1116.183300 ,17117.255000 ,,
E01000882,17.283400 ,10.699300 ,0.001858 ,2.960374 ,46.334835 ,0.227960 ,98.059606 ,121.227020 ,0.808892 ,0.690491 ,0.030804 ,17.000000 ,4.701566 ,1.587447 ,247.324840 ,-54.665086 ,17.000000 ,1477.307700 ,187986.130000 ,1056.291500 ,1.259325 ,-1061.143900 ,17658.274000 ,,
E01000886,18.610200 ,10.664600 ,0.001392 ,3.011065 ,49.909103 ,0.203650 ,96.482367 ,121.436920 ,0.794506 ,0.543639 ,-0.056031 ,14.000000 ,4.331759 ,1.543628 ,248.717720 ,-43.868616 ,14.000000 ,1541.496700 ,266086.260000 ,1083.982400 ,1.341637 ,-792.202240 ,14827.960000 ,,
E01000887,17.040900 ,10.667400 ,0.001903 ,2.956453 ,46.006872 ,0.231276 ,108.218640 ,131.222080 ,0.824698 ,0.563559 ,-0.418409 ,12.000000 ,5.150810 ,1.618189 ,256.652760 ,-40.551441 ,12.000000 ,1495.472900 ,303562.700000 ,1080.304300 ,1.395407 ,-652.616660 ,12543.008000 ,,
